,Volcano,SampleID,sample_RMSE_to_regression
217,Llaima,8LM-339_B20,0.031190321909005614
218,Llaima,8LM-339_B20c,0.35901135719621635
219,Llaima,8LM-339_B23,0.3341449745152374
220,Llaima,8LM-339_B23b,0.11328303931103156
221,Llaima,8LM-339_B23c,0.042186799623264326
222,Llaima,8LM-339_B23d,0.021174316227416723
223,Llaima,8LM-339_B23e,0.40956021387183084
224,Llaima,8LM-339_B24,0.09591374599369717
225,Llaima,8LM-339_B29,0.30781971706195943
226,Llaima,8LM-339_B31,0.05680408641339785
227,Llaima,8LM-339_B31b,0.1279686611543147
228,Llaima,8LM-339_B34,0.20870493431710524
229,Llaima,8LM-339_B36,0.18757393363247077
230,Llaima,8LM-339_B7,0.2414758097450337
231,Llaima,8LM-339_B9,0.040736791472949285
232,Llaima,8LM-339_C1,0.06493689756910581
233,Llaima,8LM-339_C13,0.06842994652996048
234,Llaima,8LM-339_C16,0.04631780050210865
235,Llaima,8LM-339_C17,0.06150775377293127
236,Llaima,8LM-339_C19,0.15147499142434806
237,Llaima,8LM-339_C22_1,0.15990906480000167
238,Llaima,8LM-339_C22_2,0.006135047595648535
239,Llaima,8LM-339_C22_3,0.03402368170030501
240,Llaima,8LM-339_C22_4,0.11821419095962715
241,Llaima,8LM-339_C22b,0.018750090539997655
242,Llaima,8LM-339_C7,0.2117846641481036
243,Llaima,8LM-338_A10m,0.3134416986205746
244,Llaima,8LM-338_A10m2,0.08457898755937598
245,Llaima,8LM-338_A10m3,0.11674014721958803
246,Llaima,8LM-338_A15,0.12490055360711472
247,Llaima,8LM-338_A15b,0.09343414301646247
248,Llaima,8LM-338_A15c,0.1251805740992682
249,Llaima,8LM-338_A16,0.06812010980681749
250,Llaima,8LM-338_A17,0.10299555843208907
251,Llaima,8LM-338_A17b,0.04543587211149602
252,Llaima,8LM-338_A22,0.15388948954518056
253,Llaima,8LM-338_A25,0.0645482887168245
254,Llaima,8LM-338_A25m,0.05117003134070697
255,Llaima,8LM-338_A29,0.05972437904604766
256,Llaima,8LM-338_A29b,0.03087497956740115
257,Llaima,8LM-338_A29c,0.14088029714096695
258,Llaima,8LM-338_A3,0.02378133157879314
259,Llaima,8LM-338_A31,0.18992146342920213
260,Llaima,8LM-338_A31b,0.08097600012355832
261,Llaima,8LM-338_A31m,0.12662869250269732
262,Llaima,8LM-338_A32,0.05117843627643548
263,Llaima,8LM-338_A32b,0.07139200829947334
264,Llaima,8LM-338_A32c,0.043905121562334726
265,Llaima,8LM-338_A32d,0.09523386474526008
266,Llaima,8LM-338_A35m,0.13191819129139426
267,Llaima,8LM-338_A37,0.03700431386625036
268,Llaima,8LM-338_A3b,0.15203370753188106
269,Llaima,8LM-338_B1,0.13652526356118144
270,Llaima,8LM-338_B11,0.10213994259064751
271,Llaima,8LM-338_B12,0.12963539869093976
272,Llaima,8LM-338_B14,0.06727969614915041
273,Llaima,8LM-338_B14b,0.14777570478012514
274,Llaima,8LM-338_B14m,0.05890354829000444
275,Llaima,8LM-338_B15,0.08615061351562281
276,Llaima,8LM-338_B15b,0.2631630579148536
277,Llaima,8LM-338_B15c,0.17656852624002495
278,Llaima,8LM-338_B15d,0.3173676445489486
279,Llaima,8LM-338_B15e,0.007917862977397605
280,Llaima,8LM-338_B15f,0.10081314699333821
281,Llaima,8LM-338_B15m,0.11686732255882859
282,Llaima,8LM-338_B15m2,0.03352880745715059
283,Llaima,8LM-338_B16,0.01775341766216687
284,Llaima,8LM-338_B16m1,0.12076713910611336
285,Llaima,8LM-338_B16m2,0.043243946907223996
286,Llaima,8LM-338_B16m3,0.031089103004389163
287,Llaima,8LM-338_B16m4,0.07901198079155314
288,Llaima,8LM-338_B16m5,0.04481102181758112
289,Llaima,8LM-338_B17,0.003924408775601518
290,Llaima,8LM-338_B18,0.04931245971837661
291,Llaima,8LM-338_B19,0.15071413911769937
292,Llaima,8LM-338_B2,0.0023595757143493046
293,Llaima,8LM-338_B20,0.02780784446241391
294,Llaima,8LM-338_B20b,0.33179277104881544
295,Llaima,8LM-338_B20m,0.07558650402080413
296,Llaima,8LM-338_B20m2,0.45232364808747527
297,Llaima,8LM-338_B23,0.02358946800018391
298,Llaima,8LM-338_B23b,0.018258850462493814
299,Llaima,8LM-338_B24,0.021509876595481647
300,Llaima,8LM-338_B24c,0.10758944953809457
301,Llaima,8LM-338_B25,0.1614915546337351
302,Llaima,8LM-338_B25b,0.05365124294200352
303,Llaima,8LM-338_B25c,0.1378560653371007
304,Llaima,8LM-338_B25d,0.1039795255094238
305,Llaima,8LM-338_B25e,0.042670617012180556
306,Llaima,8LM-338_B25f,0.22058812290629692
307,Llaima,8LM-338_B25g,0.14362083342217669
308,Llaima,8LM-338_B25m,0.038288612909512354
309,Llaima,8LM-338_B4,0.07297094823638495
310,Llaima,8LM-338_B8,0.02624261136676853
311,Llaima,8LM-338_C1,0.09079529353218996
312,Llaima,8LM-338_C10,0.029620996712867775
313,Llaima,8LM-338_C10b,0.0790484341457276
314,Llaima,8LM-338_C10c,0.05925720650555366
315,Llaima,8LM-338_C11,0.06816330823627803
316,Llaima,8LM-338_C11m,0.03754315176408074
317,Llaima,8LM-338_C13,0.14608395902037752
318,Llaima,8LM-338_C13b,0.08873145352830603
319,Llaima,8LM-338_C13c,0.06051649626271527
320,Llaima,8LM-338_C13d,0.07753676406470522
321,Llaima,8LM-338_C13e,0.07796252397989645
322,Llaima,8LM-338_C14,0.1968336154145527
323,Llaima,8LM-338_C14b,0.06858259890678187
324,Llaima,8LM-338_C15,0.01701262572766482
325,Llaima,8LM-338_C17,0.0829842979801978
326,Llaima,8LM-338_C17m,0.04285537115156035
327,Llaima,8LM-338_C1m,0.10293857156604269
